ID,RGenreName,階層
505098,電話台・ファックス台,インテリア・寝具・収納>収納家具>電話台・ファックス台
505107,ベッド,インテリア・寝具・収納>ベッド>脚付きマットレス
505109,ベッド,インテリア・寝具・収納>ベッド>畳ベッド
505140,毛布・タオルケット,インテリア・寝具・収納>寝具>ガーゼケット
508180,ベッド,インテリア・寝具・収納>ベッド>ロフトベッド・システムベッド
508183,寝具用マットレス,インテリア・寝具・収納>寝具>マットレス
508241,枕・抱き枕,インテリア・寝具・収納>寝具>枕・抱き枕>抱き枕
508248,枕・抱き枕,インテリア・寝具・収納>寝具>枕・抱き枕>足枕
551221,ベッドパッド・敷きパッド,インテリア・寝具・収納>寝具>ベッドパッド・敷きパッド
553694,クローゼット・ワードローブ,インテリア・寝具・収納>収納家具>クローゼット・ワードローブ
553697,ラック・シェルフ（コレクション）,ホビー>コレクション>コレクションケース
553714,ソファ,インテリア・寝具・収納>ソファ・ソファベッド>ソファベッド
562701,ラック・シェルフ（家具）,インテリア・寝具・収納>収納家具>リビング壁面収納・システム収納
563299,食器棚・レンジ台,インテリア・寝具・収納>収納家具>キッチン収納>食器棚・キッチンボード
563689,布団,インテリア・寝具・収納>寝具>掛け布団
564566,寝具カバー・シーツ,インテリア・寝具・収納>寝具>寝具カバー・シーツ>フラットシーツ
565127,こたつ,家電>季節・空調家電>こたつ>電気こたつ
565250,ベッド,インテリア・寝具・収納>ベッド>マッサージベッド・エステベッド
566053,イス・チェア,インテリア・寝具・収納>子供部屋用インテリア・寝具・収納>イス・チェア>バランスチェア
566176,木箱,インテリア・寝具・収納>収納家具
566179,ベッド,インテリア・寝具・収納>ベッド>フレーム・マットレスセット
566180,ソファ,インテリア・寝具・収納>ソファ・ソファベッド>ソファ
566181,ソファ,インテリア・寝具・収納>ソファ・ソファベッド>ソファ・ソファベッド用部品
566182,イス・チェア,インテリア・寝具・収納>イス・チェア>イス・チェア用部品
566183,テーブル,インテリア・寝具・収納>テーブル>カフェテーブル・ティーテーブル
566184,テーブル,インテリア・寝具・収納>テーブル>ネストテーブル
566185,小物・ファブリック・その他（インテリア・寝具・収納用品）,インテリア・寝具・収納>テーブル>囲炉裏テーブル
566187,デスク,インテリア・寝具・収納>デスク>文机
566188,デスク,インテリア・寝具・収納>デスク>デスク用部品
