ID,YCategoryName,階層
44074,研究施設家具,家具、インテリア > オフィス家具 > 研究施設家具
44075,工場、物流施設家具,家具、インテリア > オフィス家具 > 工場、物流施設家具
44076,店舗、商業施設家具,家具、インテリア > オフィス家具 > 店舗、商業施設家具
44077,傘立て,家具、インテリア > 玄関家具 > 傘立て
44597,インテリア用間仕切り,家具、インテリア > 間仕切り
44601,ファブリックパネル,家具、インテリア > ウォールデコレーション > ファブリックパネル
44602,カーテン付属品、パーツ,家具、インテリア > カーテン、ブラインド > カーテン付属品、パーツ
44603,ドレッサー、鏡台,家具、インテリア > ミラー、ドレッサー > ドレッサー、鏡台
44604,テーブル付属品、パーツ,家具、インテリア > テーブル > テーブル付属品、パーツ
2120,おもちゃ箱、収納（子ども用）,ベビー、キッズ、マタニティ > 子ども用家具 > おもちゃ箱、収納
2120,おもちゃ収納,家具、インテリア > 子供部屋家具 > おもちゃ収納
3582,マルチカバー,家具、インテリア > ファブリック、カバー類 > マルチカバー
3587,その他ミラー、ドレッサー,家具、インテリア > ミラー、ドレッサー > その他ミラー、ドレッサー
3596,のれん,家具、インテリア > カーテン、ブラインド > のれん
3600,マガジンラック,家具、インテリア > ラック、シェルフ、本棚 > マガジンラック
3601,その他インテリア雑貨、小物,家具、インテリア > インテリア雑貨 > その他インテリア雑貨、小物
3603,その他カーテン、ブラインド、レール,家具、インテリア > カーテン、ブラインド > その他カーテン、ブラインド、レール
3619,座椅子、高座椅子,家具、インテリア > 椅子、スツール、座椅子 > 座椅子、高座椅子
3625,その他椅子、スツール、座椅子,家具、インテリア > 椅子、スツール、座椅子 > その他椅子、スツール、座椅子
3626,スチールラック本体,家具、インテリア > ラック、シェルフ、本棚 > スチールラック > スチールラック本体
3628,下駄箱、シューズボックス,家具、インテリア > 玄関家具 > 下駄箱、シューズボックス
3631,テレビ台、ローボード,家具、インテリア > テレビ台、キャビネット > テレビ台、ローボード
3635,クローゼット、ワードローブ,家具、インテリア > チェスト、衣類収納 > クローゼット、ワードローブ
32898,圧縮袋、収納袋,家具、インテリア > プラケース、押入れ収納 > 圧縮袋、収納袋
32906,洗濯機ラック,家具、インテリア > ランドリー、サニタリー収納 > 洗濯機ラック
32912,押入れラック,家具、インテリア > プラケース、押入れ収納 > 押入れラック
32913,すのこ,家具、インテリア > プラケース、押入れ収納 > すのこ
32918,突っ張りラック,家具、インテリア > ラック、シェルフ、本棚 > 突っ張りラック
32924,ハンガーラック,家具、インテリア > チェスト、衣類収納 > ハンガーラック
32925,その他収納ラック,家具、インテリア > ラック、シェルフ、本棚 > その他収納ラック
32937,キッチンラック,家具、インテリア > キッチン収納 > キッチンラック
32938,野菜ストッカー,家具、インテリア > キッチン収納 > 野菜ストッカー
32962,子供用布団セット,家具、インテリア > 子供部屋家具 > 寝具、布団 > 布団セット
32962,子供用布団セット,家具、インテリア > 布団、寝具 > 子供用寝具、布団 > 布団セット
32974,毛布、ブランケット,家具、インテリア > 布団、寝具 > 毛布、ブランケット > 毛布、ブランケット
32977,着る毛布、かいまき,家具、インテリア > 布団、寝具 > 毛布、ブランケット > 着る毛布、かいまき
32982,子供用タオルケット,家具、インテリア > 子供部屋家具 > 寝具、布団 > タオルケット
32982,子供用タオルケット,家具、インテリア > 布団、寝具 > 子供用寝具、布団 > タオルケット
32985,カバー、シーツセット,家具、インテリア > 布団、寝具 > シーツ、カバー > カバー、シーツセット
32986,マットレスカバー,家具、インテリア > 布団、寝具 > シーツ、カバー > マットレスカバー
32994,フラットシーツ,家具、インテリア > 布団、寝具 > シーツ、カバー > フラットシーツ
32996,ベッドカバー、スプレッド,家具、インテリア > ファブリック、カバー類 > ベッドカバー、スプレッド
32996,ベッドカバー,家具、インテリア > 布団、寝具 > シーツ、カバー > ベッドカバー
32997,首枕、ネックピロー,家具、インテリア > 布団、寝具 > 枕、ピロー > 首枕、ネックピロー
32998,抱き枕,家具、インテリア > 布団、寝具 > 枕、ピロー > 抱き枕
32999,腰枕,家具、インテリア > 布団、寝具 > 枕、ピロー > 腰枕
33001,足枕、フットピロー,家具、インテリア > 布団、寝具 > 枕、ピロー > 足枕、フットピロー
33035,脚付きマットレスベッド,家具、インテリア > ベッド、マットレス > ベッド > 脚付きマットレスベッド
33041,脇机,家具、インテリア > オフィス家具 > オフィスワゴン、脇机 > 脇机
